,semana,of,descricao material,descricao consumo,ct
155,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
156,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
157,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
158,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
159,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
160,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
161,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
162,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
163,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
164,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
165,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
166,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
167,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
168,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
169,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
170,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
171,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
172,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
173,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
174,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
175,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
176,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
177,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
178,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
179,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
180,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
181,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
182,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
183,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
184,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
185,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
186,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
187,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
188,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
189,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
190,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
191,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
192,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
