Sum Quantity,,,
MaterialKey,MaterialName,Lot,Total
33000018,CT. TRIT N V - CRU VIRGEM,CORT212005,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT212019,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT212038,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT212087,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT212095,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT212106,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT212110,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT212113,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT212140,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT212150,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT212163,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT212194,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT212332,23
33000018,CT. TRIT N V - CRU VIRGEM,CORT212349,5049
33000018,CT. TRIT N V - CRU VIRGEM,CORT212358,7536
33000018,CT. TRIT N V - CRU VIRGEM,CORT212412,8369
33000018,CT. TRIT N V - CRU VIRGEM,GOLIVE,0
33000018,CT. TRIT N V - CRU VIRGEM,GRAN200341,0
33000018,CT. TRIT N V - CRU VIRGEM,GRAN210996,0
33000018,CT. TRIT N V - CRU VIRGEM,MELIV 0001,0
33000018,CT. TRIT N V - CRU VIRGEM,MELRV 0175,0
33000018,CT. TRIT N V - CRU VIRGEM,MELRV 0176,0
33000018,CT. TRIT N V - CRU VIRGEM,MELRV 0177,0
33000018,CT. TRIT N V - CRU VIRGEM,RIBVIR 000,0
33000020,CT. TRIT N V - CRU VIRGEM FSC100%,,0
33000038,CT. TRIT N V - COZ BROCA,MELEV 0000,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT200137,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT200141,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT200142,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT200163,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT200179,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT200210,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT200256,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT200302,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT200532,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT200568,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT200593,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT200779,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT200896,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT201038,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT201123,0
